,email,password,preference_keys,music_genres_keys,gender,age
0,user1@test.com,12345678,"[1, 4, 8, 10, 15, 12, 20, 21, 26, 27, 28, 32, 13]","[8, 11, 12, 17, 18, 13, 2]",2,31
1,user2@test.com,12345678,"[9, 21, 23, 26, 32, 5, 4]","[1, 2, 3, 4, 5, 6, 7, 15, 16]",0,67
2,user3@test.com,12345678,"[4, 8, 10, 15, 16, 20, 21, 22, 26, 27, 28, 14, 34]","[8, 9, 13, 15, 16, 19, 10, 4]",0,25
3,user4@test.com,12345678,"[1, 4, 8, 10, 15, 12, 21, 22, 26, 27, 28, 35, 17]","[8, 11, 12, 17, 18, 2, 7]",2,53
4,user5@test.com,12345678,"[9, 21, 23, 26, 32, 14, 13]","[8, 11, 12, 17, 18, 2, 5]",1,33
5,user6@test.com,12345678,"[3, 15, 23, 26, 32, 28, 33]","[8, 11, 12, 17, 18, 15, 7]",0,23
6,user7@test.com,12345678,"[3, 21, 23, 26, 32, 5, 28]","[8, 11, 12, 17, 18, 7, 16]",0,73
7,user8@test.com,12345678,"[20, 10, 11, 21, 25, 31, 33, 3, 12]","[8, 9, 13, 15, 16, 19, 5, 7]",2,31
8,user9@test.com,12345678,"[2, 14, 31, 32, 29, 11]","[3, 10, 11, 14, 7, 15, 4]",0,16
9,user10@test.com,12345678,"[6, 14, 34, 32, 33, 23]","[1, 2, 3, 4, 5, 6, 7, 16, 9]",0,52
10,user11@test.com,12345678,"[20, 4, 10, 21, 25, 31, 33, 22, 34]","[8, 9, 13, 15, 16, 19, 7, 11]",1,15
11,user12@test.com,12345678,"[5, 20, 4, 10, 21, 25, 33, 14, 24]","[8, 9, 13, 15, 16, 19, 18, 7]",1,36
12,user13@test.com,12345678,"[6, 20, 27, 35, 24, 13]","[8, 11, 12, 17, 18, 14, 4]",1,40
13,user14@test.com,12345678,"[5, 4, 10, 11, 21, 31, 33, 30, 34]","[8, 9, 13, 15, 16, 19, 5, 6]",0,49
14,user15@test.com,12345678,"[5, 20, 4, 10, 11, 25, 31, 23, 28]","[1, 2, 3, 4, 5, 6, 7, 14, 10]",1,17
15,user16@test.com,12345678,"[4, 10, 15, 16, 12, 20, 21, 22, 26, 27, 28, 23, 13]","[1, 2, 3, 4, 5, 6, 7, 15, 17]",1,27
16,user17@test.com,12345678,"[3, 9, 21, 26, 32, 22, 6]","[8, 9, 13, 15, 16, 19, 6, 14]",2,56
17,user18@test.com,12345678,"[1, 4, 8, 10, 16, 12, 20, 21, 22, 27, 28, 23, 9]","[8, 11, 12, 17, 18, 13, 15]",2,34
18,user19@test.com,12345678,"[1, 18, 6, 35, 14, 15]","[8, 11, 12, 17, 18, 9, 10]",1,55
